epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8686.2,2.70853,1.70346,1.20241,0.35052,0.35548,0.24623,0.05861,2.9461,1.88463,1.42989,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,8956.93,2.68598,1.65382,1.19333,0.35272,0.36042,0.24511,0.05797,2.97152,1.86261,1.43494,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,9229.58,2.71454,1.67983,1.19415,0.35723,0.35365,0.25164,0.06007,2.91488,1.83037,1.41693,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,9502.88,2.68459,1.65841,1.18744,0.34064,0.34824,0.23386,0.05618,3.02769,1.93653,1.44564,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,9775.44,2.68393,1.6498,1.18779,0.33293,0.34733,0.23578,0.0568,2.89705,1.87372,1.42375,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,10048,2.66259,1.61943,1.17586,0.34855,0.35329,0.24264,0.05813,2.94179,1.83621,1.42168,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,10320.4,2.66402,1.62015,1.17712,0.33845,0.35859,0.23716,0.05643,2.98385,1.86296,1.4429,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,10589.7,2.65181,1.61211,1.18423,0.35297,0.35945,0.24599,0.05849,2.99974,1.83868,1.46546,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
38,10860.9,2.64357,1.59694,1.17032,0.3611,0.37071,0.25304,0.06046,2.91126,1.79382,1.43031,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337
39,11132.7,2.63067,1.59757,1.17527,0.35626,0.35986,0.24898,0.05864,2.97083,1.8384,1.44048,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
40,11405.1,2.64547,1.57489,1.17676,0.35791,0.34687,0.24347,0.05803,3.0296,1.85348,1.49488,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,11677.3,2.61988,1.57018,1.18304,0.3634,0.35609,0.24748,0.05846,2.97009,1.86258,1.45003,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
42,11946.6,2.61543,1.58482,1.1665,0.37287,0.36246,0.2543,0.0603,2.95833,1.79607,1.44143,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,12218.1,2.60602,1.55088,1.16753,0.36842,0.35996,0.25605,0.06016,2.98474,1.82863,1.44577,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,12490.2,2.6121,1.56744,1.17157,0.38294,0.37341,0.26193,0.06178,2.96554,1.78973,1.431,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,12763.4,2.58922,1.53262,1.16502,0.36929,0.36105,0.25739,0.06267,2.98186,1.81821,1.45699,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,13036.7,2.59482,1.52573,1.16471,0.35867,0.35339,0.2462,0.05914,3.02359,1.80559,1.45774,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,13307.4,2.58454,1.51681,1.17436,0.37256,0.36144,0.25846,0.06116,2.98885,1.79892,1.45899,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,13581,2.57895,1.51868,1.15897,0.37491,0.36399,0.25967,0.06156,2.96225,1.79432,1.4449,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,13854.8,2.54883,1.48775,1.15316,0.3923,0.37336,0.27089,0.06495,3.04482,1.77148,1.4833,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,14127.5,2.58152,1.50808,1.1534,0.37572,0.36186,0.26374,0.06324,2.95072,1.78743,1.43405,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,14401.3,2.5504,1.48546,1.15653,0.37649,0.35553,0.25603,0.06168,3.04398,1.85079,1.48208,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,14675.5,2.57529,1.49881,1.15222,0.3816,0.35716,0.26266,0.06208,2.96497,1.78203,1.4472,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,14947.3,2.55016,1.47856,1.1503,0.37645,0.35813,0.26003,0.0626,2.98646,1.81581,1.46296,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,15220,2.55804,1.47816,1.14706,0.36545,0.34442,0.24283,0.0564,3.06327,1.81207,1.48844,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,15494.1,2.54678,1.47825,1.15437,0.35429,0.3487,0.24637,0.05813,3.0558,1.85717,1.46132,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,15767.5,2.52501,1.47244,1.14724,0.3662,0.35064,0.25352,0.06045,3.0292,1.83763,1.47192,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,16041.3,2.52678,1.46983,1.14201,0.36632,0.35049,0.24892,0.05973,3.06131,1.79345,1.49098,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,16312.3,2.52843,1.45181,1.13904,0.36884,0.35283,0.25297,0.06035,3.04103,1.80867,1.46823,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,16585.3,2.50592,1.434,1.14222,0.37388,0.35828,0.25719,0.06106,3.03366,1.80179,1.49128,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,16859.3,2.51593,1.43913,1.13806,0.37583,0.35298,0.24948,0.05844,3.06334,1.79456,1.48696,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,17133.3,2.50243,1.42931,1.13687,0.36676,0.3485,0.24806,0.05899,3.08804,1.79775,1.50778,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,17406.6,2.50063,1.40913,1.13933,0.3648,0.35181,0.24569,0.05818,3.02245,1.77977,1.49152,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,17677.2,2.51397,1.43758,1.1311,0.36484,0.34885,0.2462,0.05822,3.04097,1.79116,1.48746,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,17950.2,2.48185,1.42391,1.1355,0.35956,0.34881,0.24472,0.05907,3.05845,1.80385,1.47049,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,18225.5,2.49415,1.42271,1.12377,0.3723,0.35166,0.25005,0.05931,3.01611,1.77607,1.47526,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,18498,2.49108,1.42031,1.13108,0.36373,0.35288,0.24923,0.0596,3.01355,1.8003,1.4589,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,18769.6,2.45146,1.39387,1.13121,0.36314,0.34101,0.24533,0.05734,3.09904,1.82912,1.51157,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
68,19041.6,2.44578,1.39881,1.12327,0.36595,0.34824,0.24899,0.0592,3.03919,1.79711,1.48345,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,19311.7,2.45664,1.3874,1.12176,0.37721,0.35739,0.24759,0.05784,3.05127,1.80187,1.49569,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,19583.7,2.44019,1.39186,1.12188,0.36214,0.34259,0.24186,0.05885,3.04745,1.81415,1.49077,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,19856.2,2.43877,1.37702,1.11784,0.36162,0.3456,0.24312,0.0574,3.06915,1.75813,1.49488,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,20128.9,2.4457,1.36947,1.11496,0.37001,0.35161,0.24873,0.05837,3.09821,1.77668,1.50597,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
73,20401.5,2.42131,1.3614,1.11663,0.37019,0.35415,0.2495,0.05852,3.04178,1.75728,1.47899,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
74,20672.9,2.438,1.37155,1.11066,0.37867,0.33989,0.25245,0.06009,3.00573,1.803,1.46974,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773
75,20945,2.40673,1.36333,1.11185,0.36958,0.33851,0.24625,0.0574,3.09956,1.84298,1.4936,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
76,21216.5,2.41116,1.34924,1.10989,0.38071,0.34933,0.25075,0.05889,3.08496,1.75953,1.51832,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
77,21488.7,2.40043,1.35316,1.11417,0.37584,0.35181,0.24885,0.05795,3.08524,1.786,1.50471,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
78,21761,2.40076,1.36103,1.11397,0.37504,0.35023,0.25014,0.05918,3.0097,1.77631,1.47279,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377
79,22031.5,2.38655,1.33862,1.10221,0.37125,0.34712,0.24783,0.05788,3.065,1.80575,1.50034,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
80,22303.9,2.40039,1.33117,1.10351,0.38481,0.35747,0.25834,0.06006,3.07719,1.75119,1.51436,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179
81,22576,2.39366,1.33202,1.11727,0.37252,0.35171,0.25127,0.05837,3.07093,1.78225,1.49721,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
82,22849.1,2.36931,1.33786,1.10218,0.37766,0.35487,0.25333,0.05953,3.04083,1.77823,1.49168,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981
83,23122.3,2.39162,1.34197,1.10624,0.38745,0.35889,0.2574,0.05998,3.0513,1.75036,1.48922,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
84,23395.6,2.4061,1.35403,1.10508,0.37369,0.35823,0.24739,0.05819,3.08348,1.79844,1.50893,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783
85,23666.7,2.39672,1.35461,1.10108,0.38222,0.36277,0.25426,0.06018,3.14852,1.73311,1.55149,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
86,23940.5,2.36721,1.34212,1.11552,0.37678,0.36745,0.25114,0.05973,3.09639,1.7684,1.51047,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
87,24213.1,2.36431,1.32886,1.10062,0.37586,0.35431,0.24908,0.05847,3.12034,1.75084,1.54065,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
88,24486.8,2.38871,1.38355,1.10119,0.37105,0.37015,0.24971,0.05779,3.10454,1.78433,1.52623,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387
89,24759.9,2.39524,1.37338,1.10212,0.37691,0.36975,0.25711,0.06182,3.07651,1.76441,1.51711,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
90,25030.4,2.35198,1.31993,1.09322,0.3778,0.35838,0.25083,0.05726,3.14133,1.75103,1.55523,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189
91,25304.1,2.35079,1.30668,1.0886,0.37681,0.36766,0.25237,0.0577,3.13272,1.74669,1.53519,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
92,25576.3,2.3233,1.29216,1.09362,0.37307,0.358,0.25119,0.0589,3.14726,1.74534,1.56336,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991
93,25849.8,2.32982,1.28946,1.08803,0.37209,0.35665,0.24928,0.058,3.13626,1.76428,1.54798,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
94,26123.5,2.30264,1.27029,1.08762,0.36603,0.35375,0.24115,0.05743,3.14078,1.74205,1.5568,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793
95,26394.2,2.31835,1.27116,1.08324,0.38418,0.35619,0.25914,0.06261,3.09261,1.74851,1.52119,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
96,26666.9,2.28415,1.25838,1.08422,0.37234,0.34911,0.24049,0.05757,3.11774,1.75469,1.53822,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
97,26939.5,2.30632,1.26869,1.08399,0.37404,0.35405,0.24898,0.05891,3.11361,1.72393,1.53979,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
98,27213.1,2.2834,1.24951,1.07377,0.38126,0.35742,0.25389,0.0585,3.09631,1.72047,1.5194,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397
99,27486,2.2859,1.25812,1.08049,0.38219,0.34977,0.2449,0.05648,3.15794,1.72246,1.57778,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
